Date,Eletricity
2023/2/1,6200
2023/2/2,6440
2023/2/3,6440
2023/2/4,4293
2023/2/5,2146
2023/2/6,6490
2023/2/7,6320
2023/2/8,6820
2023/2/9,6960
2023/2/10,7200
2023/2/11,4123
2023/2/12,2444
2023/2/13,6880
2023/2/14,7210
2023/2/15,7300
2023/2/16,7360
2023/2/17,7060
2023/2/18,5123
2023/2/19,2044
2023/2/20,6920
2023/2/21,7070
2023/2/22,6910
2023/2/23,7080
2023/2/24,7190
2023/2/25,6534
2023/2/26,4532
2023/2/27,7310
2023/2/28,7330
2023/3/1,7370
2023/3/2,7250
2023/3/3,4833
2023/3/4,2416
2023/3/5,7090
2023/3/6,7110
2023/3/7,7020
2023/3/8,6670
2023/3/9,6790
2023/3/10,3425
2023/3/11,3256
2023/3/12,6730
2023/3/13,7280
2023/3/14,7190
2023/3/15,7260
2023/3/16,7340
2023/3/17,7231
2023/3/18,7023
2023/3/19,7310
2023/3/20,7230
2023/3/21,7260
2023/3/22,7190
2023/3/23,7130
2023/3/24,5683
2023/3/25,2343
2023/3/26,7480
2023/3/27,7210
2023/3/28,7280
2023/3/29,7280
2023/3/30,7150
