C,gamma,train_accuracy,test_accuracy,test_f1_weighted
0.1,scale,0.9582417582417583,0.9473684210526315,0.947087062795646
0.1,0.001,0.8065934065934066,0.7982456140350878,0.7741032172066565
0.1,0.01,0.9516483516483516,0.956140350877193,0.9554882874504246
0.1,0.1,0.9714285714285714,0.9473684210526315,0.9473684210526315
1.0,scale,0.9824175824175824,0.9824561403508771,0.9824561403508771
1.0,0.001,0.9516483516483516,0.956140350877193,0.9554882874504246
1.0,0.01,0.9824175824175824,0.9824561403508771,0.9824561403508771
1.0,0.1,0.989010989010989,0.956140350877193,0.9564299597121931
10.0,scale,0.9934065934065934,0.9736842105263158,0.9737469960380177
10.0,0.001,0.9802197802197802,0.9824561403508771,0.9824561403508771
10.0,0.01,0.9868131868131869,0.9824561403508771,0.9824561403508771
10.0,0.1,1.0,0.9473684210526315,0.9476097712345061
100.0,scale,1.0,0.9473684210526315,0.9478127136021872
100.0,0.001,0.9868131868131869,0.9824561403508771,0.9824561403508771
100.0,0.01,0.9956043956043956,0.9649122807017544,0.9650731808230041
100.0,0.1,1.0,0.9385964912280702,0.9390019435970705
