true_label,true_class,cluster_K2,cluster_K3,cluster_K4
0,setosa,1,1,2
0,setosa,1,1,3
0,setosa,1,1,3
0,setosa,1,1,3
0,setosa,1,1,2
0,setosa,1,1,2
0,setosa,1,1,3
0,setosa,1,1,2
0,setosa,1,1,3
0,setosa,1,1,3
0,setosa,1,1,2
0,setosa,1,1,3
0,setosa,1,1,3
0,setosa,1,1,3
0,setosa,1,1,2
0,setosa,1,1,2
0,setosa,1,1,2
0,setosa,1,1,2
0,setosa,1,1,2
0,setosa,1,1,2
0,setosa,1,1,2
0,setosa,1,1,2
0,setosa,1,1,2
0,setosa,1,1,3
0,setosa,1,1,3
0,setosa,1,1,3
0,setosa,1,1,2
0,setosa,1,1,2
0,setosa,1,1,2
0,setosa,1,1,3
0,setosa,1,1,3
0,setosa,1,1,2
0,setosa,1,1,2
0,setosa,1,1,2
0,setosa,1,1,3
0,setosa,1,1,3
0,setosa,1,1,2
0,setosa,1,1,2
0,setosa,1,1,3
0,setosa,1,1,2
0,setosa,1,1,2
0,setosa,1,1,3
0,setosa,1,1,3
0,setosa,1,1,2
0,setosa,1,1,2
0,setosa,1,1,3
0,setosa,1,1,2
0,setosa,1,1,3
0,setosa,1,1,2
0,setosa,1,1,3
1,versicolor,0,2,0
1,versicolor,0,2,0
1,versicolor,0,2,0
1,versicolor,0,0,1
1,versicolor,0,0,1
1,versicolor,0,0,1
1,versicolor,0,2,0
1,versicolor,0,0,1
1,versicolor,0,0,1
1,versicolor,0,0,1
1,versicolor,0,0,1
1,versicolor,0,0,1
1,versicolor,0,0,1
1,versicolor,0,0,1
1,versicolor,0,0,1
1,versicolor,0,2,0
1,versicolor,0,0,1
1,versicolor,0,0,1
1,versicolor,0,0,1
1,versicolor,0,0,1
1,versicolor,0,2,0
1,versicolor,0,0,1
1,versicolor,0,0,1
1,versicolor,0,0,1
1,versicolor,0,0,1
1,versicolor,0,2,0
1,versicolor,0,2,0
1,versicolor,0,2,0
1,versicolor,0,0,1
1,versicolor,0,0,1
1,versicolor,0,0,1
1,versicolor,0,0,1
1,versicolor,0,0,1
1,versicolor,0,0,1
1,versicolor,0,0,1
1,versicolor,0,2,0
1,versicolor,0,2,0
1,versicolor,0,0,1
1,versicolor,0,0,1
1,versicolor,0,0,1
1,versicolor,0,0,1
1,versicolor,0,0,1
1,versicolor,0,0,1
1,versicolor,0,0,1
1,versicolor,0,0,1
1,versicolor,0,0,1
1,versicolor,0,0,1
1,versicolor,0,0,1
1,versicolor,0,0,1
1,versicolor,0,0,1
2,virginica,0,2,0
2,virginica,0,0,1
2,virginica,0,2,0
2,virginica,0,2,0
2,virginica,0,2,0
2,virginica,0,2,0
2,virginica,0,0,1
2,virginica,0,2,0
2,virginica,0,2,0
2,virginica,0,2,0
2,virginica,0,2,0
2,virginica,0,2,0
2,virginica,0,2,0
2,virginica,0,0,1
2,virginica,0,0,1
2,virginica,0,2,0
2,virginica,0,2,0
2,virginica,0,2,0
2,virginica,0,2,0
2,virginica,0,0,1
2,virginica,0,2,0
2,virginica,0,0,1
2,virginica,0,2,0
2,virginica,0,0,1
2,virginica,0,2,0
2,virginica,0,2,0
2,virginica,0,0,1
2,virginica,0,2,0
2,virginica,0,2,0
2,virginica,0,2,0
2,virginica,0,2,0
2,virginica,0,2,0
2,virginica,0,2,0
2,virginica,0,0,1
2,virginica,0,0,1
2,virginica,0,2,0
2,virginica,0,2,0
2,virginica,0,2,0
2,virginica,0,0,1
2,virginica,0,2,0
2,virginica,0,2,0
2,virginica,0,2,0
2,virginica,0,0,1
2,virginica,0,2,0
2,virginica,0,2,0
2,virginica,0,2,0
2,virginica,0,0,1
2,virginica,0,2,0
2,virginica,0,2,0
2,virginica,0,0,1
