true_label,true_class,dbscan_cluster,kmeans_cluster_K3
0,setosa,0,1
0,setosa,0,1
0,setosa,0,1
0,setosa,0,1
0,setosa,0,1
0,setosa,0,1
0,setosa,0,1
0,setosa,0,1
0,setosa,0,1
0,setosa,0,1
0,setosa,0,1
0,setosa,0,1
0,setosa,0,1
0,setosa,0,1
0,setosa,-1,1
0,setosa,-1,1
0,setosa,0,1
0,setosa,0,1
0,setosa,0,1
0,setosa,0,1
0,setosa,0,1
0,setosa,0,1
0,setosa,0,1
0,setosa,0,1
0,setosa,0,1
0,setosa,0,1
0,setosa,0,1
0,setosa,0,1
0,setosa,0,1
0,setosa,0,1
0,setosa,0,1
0,setosa,0,1
0,setosa,-1,1
0,setosa,-1,1
0,setosa,0,1
0,setosa,0,1
0,setosa,0,1
0,setosa,0,1
0,setosa,0,1
0,setosa,0,1
0,setosa,0,1
0,setosa,-1,1
0,setosa,0,1
0,setosa,0,1
0,setosa,0,1
0,setosa,0,1
0,setosa,0,1
0,setosa,0,1
0,setosa,0,1
0,setosa,0,1
1,versicolor,1,2
1,versicolor,1,2
1,versicolor,1,2
1,versicolor,1,0
1,versicolor,1,0
1,versicolor,1,0
1,versicolor,-1,2
1,versicolor,-1,0
1,versicolor,1,0
1,versicolor,-1,0
1,versicolor,-1,0
1,versicolor,1,0
1,versicolor,-1,0
1,versicolor,1,0
1,versicolor,1,0
1,versicolor,1,2
1,versicolor,1,0
1,versicolor,1,0
1,versicolor,-1,0
1,versicolor,1,0
1,versicolor,1,2
1,versicolor,1,0
1,versicolor,-1,0
1,versicolor,1,0
1,versicolor,1,0
1,versicolor,1,2
1,versicolor,1,2
1,versicolor,1,2
1,versicolor,1,0
1,versicolor,1,0
1,versicolor,1,0
1,versicolor,1,0
1,versicolor,1,0
1,versicolor,1,0
1,versicolor,1,0
1,versicolor,-1,2
1,versicolor,1,2
1,versicolor,-1,0
1,versicolor,1,0
1,versicolor,1,0
1,versicolor,1,0
1,versicolor,1,0
1,versicolor,1,0
1,versicolor,-1,0
1,versicolor,1,0
1,versicolor,1,0
1,versicolor,1,0
1,versicolor,1,0
1,versicolor,-1,0
1,versicolor,1,0
2,virginica,-1,2
2,virginica,1,0
2,virginica,1,2
2,virginica,1,2
2,virginica,1,2
2,virginica,-1,2
2,virginica,-1,0
2,virginica,-1,2
2,virginica,-1,2
2,virginica,-1,2
2,virginica,1,2
2,virginica,1,2
2,virginica,1,2
2,virginica,1,0
2,virginica,-1,0
2,virginica,1,2
2,virginica,1,2
2,virginica,-1,2
2,virginica,-1,2
2,virginica,-1,0
2,virginica,1,2
2,virginica,1,0
2,virginica,-1,2
2,virginica,1,0
2,virginica,1,2
2,virginica,-1,2
2,virginica,1,0
2,virginica,1,2
2,virginica,1,2
2,virginica,-1,2
2,virginica,-1,2
2,virginica,-1,2
2,virginica,1,2
2,virginica,1,0
2,virginica,1,0
2,virginica,-1,2
2,virginica,-1,2
2,virginica,1,2
2,virginica,1,0
2,virginica,1,2
2,virginica,1,2
2,virginica,1,2
2,virginica,1,0
2,virginica,1,2
2,virginica,1,2
2,virginica,1,2
2,virginica,1,0
2,virginica,1,2
2,virginica,-1,2
2,virginica,1,0
