antecedents,consequents,support,confidence,lift
"a, c",e,0.3,0.6,2.0
e,"a, c",0.3,1.0,2.0
e,a,0.3,1.0,1.4285714285714286
e,c,0.3,1.0,1.4285714285714286
"a, e",c,0.3,1.0,1.4285714285714286
"e, c",a,0.3,1.0,1.4285714285714286
a,c,0.5,0.7142857142857143,1.0204081632653061
c,a,0.5,0.7142857142857143,1.0204081632653061
b,a,0.5,0.625,0.8928571428571429
b,c,0.5,0.625,0.8928571428571429
a,b,0.5,0.7142857142857143,0.8928571428571428
c,b,0.5,0.7142857142857143,0.8928571428571428
"a, b",c,0.3,0.6,0.8571428571428572
"c, b",a,0.3,0.6,0.8571428571428572
"a, c",b,0.3,0.6,0.7499999999999999
