ID,R,F,M,Cluster,Distance,Is_Outlier
1,27,6,232.61,2,1.282986225848073,False
2,3,5,1507.11,2,1.2537845486527925,False
3,4,16,817.62,1,1.1063256937690003,False
4,3,11,232.81,2,1.5073454713185226,False
5,14,7,1913.05,2,1.494423483862398,False
6,19,6,220.07,2,0.9718798560585672,False
7,5,2,615.83,2,0.8945050529720673,False
8,26,2,1059.66,2,0.9599109789073924,False
9,21,9,304.82,2,1.078178413643208,False
10,2,21,1227.96,1,1.04674903010341,False
11,15,2,521.02,2,0.6171055302231465,False
12,26,3,438.22,2,1.0593078608281192,False
13,17,11,1744.55,1,1.0988095252125305,False
14,30,16,1957.44,1,1.456011284201261,False
15,5,7,1713.79,2,1.4222358680100127,False
16,4,21,1768.11,1,1.0781043289518133,False
17,93,2,1016.34,0,2.4061277724609775,True
18,16,3,950.36,2,0.28773512867120704,False
19,4,1,754.93,2,0.9689283694490075,False
20,27,1,294.23,2,1.3205209929770334,False
21,5,1,195.3,2,1.2969389720714397,False
22,17,3,1845.34,2,1.400174525106199,False
23,12,13,1434.29,1,0.6938348371036809,False
24,21,3,275.85,2,0.9797941395349464,False
25,18,5,449.76,2,0.6318000900921295,False
26,30,21,1628.68,1,1.294086821911702,False
27,4,2,1795.41,2,1.573820346490927,False
28,7,12,1786.24,1,1.151534854695488,False
29,18,1,679.44,2,0.6299040833576086,False
30,60,7,5318.81,0,5.508752677392925,True
31,4,22,873.68,1,1.1763466468115509,False
32,16,1,654.69,2,0.6052927694960099,False
33,3,2,230.37,2,1.307132745067602,False
34,14,11,1165.68,2,0.945507236800985,False
35,13,21,1276.31,1,0.4626740666132344,False
36,10,16,334.21,1,1.473997615357956,False
37,5,5,759.19,2,0.7441024226268735,False
38,1,1,1383.39,2,1.3583987773021757,False
39,24,8,3280.77,1,3.1008025818128577,True
40,19,4,154.65,2,1.0505923085760254,False
41,9,1,501.38,2,0.846094394919717,False
42,1,24,1721.93,1,1.420866951506222,False
43,14,1,107.18,2,1.183904260449841,False
44,10,1,973.36,2,0.6467307523683249,False
45,10,17,764.55,1,0.8864362530516052,False
46,7,6,1251.4,2,0.8069113395871375,False
47,23,11,923.28,2,1.048635684024062,False
48,15,1,1011.18,2,0.5575531898499313,False
49,1,15,1847.61,1,1.2897297204335474,False
50,3,21,1669.46,1,1.0681995035503438,False
51,10,3,1758.05,2,1.3190235679751985,False
52,30,8,1865.99,2,1.8529793053282693,False
53,28,8,1791.44,2,1.684161103092624,False
54,4,15,874.6,1,1.0947782124205427,False
55,24,5,557.17,2,0.8140732317709557,False
56,16,2,1025.35,2,0.4518861320575502,False
57,7,2,1261.47,2,0.8867657016482792,False
58,66,4,2920.81,0,2.2119474932767935,False
59,4,2,1266.02,2,1.0500400485236565,False
60,21,11,626.37,2,1.0225208068973342,False
61,6,4,1105.63,2,0.7421138208272899,False
62,26,21,1465.58,1,0.9734513181944978,False
63,8,21,630.74,1,1.194830100572581,False
64,26,2,1546.45,2,1.3235434411876654,False
65,14,11,1577.91,1,0.9847889990317287,False
66,17,6,170.16,2,1.0018386118406142,False
67,20,5,1558.75,2,1.0436370241957083,False
68,5,5,1272.06,2,0.9230474240126926,False
69,26,3,111.02,2,1.3711262006507348,False
70,15,7,1578.37,2,1.039287928961852,False
71,26,24,720.26,1,1.4858891510546552,False
72,25,16,873.22,1,1.0492671461131335,False
73,4,7,935.19,2,0.8623093310418833,False
74,23,11,723.67,2,1.0646702872881184,False
75,15,9,1833.01,1,1.3822915206128952,False
76,6,3,681.26,2,0.7451721836145484,False
77,78,11,1461.63,0,1.2173603878199442,False
78,15,17,560.57,1,1.102388635439229,False
79,9,18,1761.19,1,0.7155183971083915,False
80,8,7,1707.25,2,1.3135376054887191,False
81,28,2,227.14,2,1.3860950993232892,False
82,22,3,223.57,2,1.0775470885472618,False
83,8,6,940.46,2,0.5401648767164375,False
84,23,6,256.3,2,1.0643958258691466,False
85,5,1,312.44,2,1.1837346939951066,False
86,15,14,929.52,1,0.7791531674804503,False
87,27,15,1296.66,1,1.0054559427930563,False
88,22,11,591.62,2,1.0749528835407187,False
89,2,2,755.72,2,1.0377731434005613,False
90,18,17,1424.07,1,0.299853071221029,False
91,61,8,940.93,0,0.6421550959412747,False
92,3,7,414.24,2,1.1226691861411777,False
93,1,14,576.56,1,1.563874463054258,False
94,12,22,1037.14,1,0.7422786234341359,False
95,26,5,1200.17,2,0.9592063901572888,False
96,1,3,1727.36,2,1.6006918131034158,False
97,13,16,503.71,1,1.2069936075472034,False
98,19,7,703.36,2,0.49199585506612764,False
99,12,17,1583.05,1,0.39926850573725486,False
100,3,18,602.9,1,1.3491869704085626,False
101,5,1,798.41,2,0.8996121068867773,False
102,25,7,1202.09,2,0.9446829306258572,False
103,85,4,1605.36,0,1.7280791353857954,False
104,28,21,1222.34,1,1.1068243910442348,False
105,25,19,593.17,1,1.3181276562011384,False
106,8,6,94.75,2,1.2028970811077817,False
107,14,1,89.7,2,1.2058854305206244,False
108,21,15,1061.56,1,0.730246311506538,False
109,29,15,978.85,1,1.2518586888448535,False
110,14,3,155.9,2,1.0258428385332488,False
111,20,5,938.15,2,0.40388203040574844,False
112,3,24,1477.97,1,1.2230641171162966,False
113,10,6,1976.23,2,1.5997839935443197,False
114,8,5,181.17,2,1.0838040291324964,False
115,17,4,499.65,2,0.5509511876620655,False
116,49,1,76.22,0,2.2849659485316973,False
117,13,11,267.1,2,1.1987071086940968,False
118,23,1,137.62,2,1.298849689341688,False
119,65,5,1383.47,0,0.3633713581611107,False
120,20,22,1311.2,1,0.704397379191906,False
