basket_size,transaction_count,transaction_share
1,2010,0.21483539974348012
2,1594,0.17037195382642153
3,1227,0.1311457887986319
4,1016,0.1085934159897392
5,803,0.08582727661393758
6,613,0.06551945275758872
7,521,0.05568619067977768
8,413,0.04414279606669517
9,335,0.03580589995724669
10,221,0.023621205643437365
11,164,0.017528858486532708
12,114,0.01218469431380932
13,75,0.00801624625908508
14,75,0.00801624625908508
15,48,0.005130397605814451
16,42,0.004489097905087645
17,22,0.00235143223599829
18,13,0.0013894826849080804
19,16,0.0017101325352714834
20,8,0.0008550662676357417
21,10,0.0010688328345446773
22,5,0.0005344164172723387
23,4,0.00042753313381787086
26,2,0.00021376656690893543
27,2,0.00021376656690893543
28,1,0.00010688328345446772
29,1,0.00010688328345446772
32,1,0.00010688328345446772
