min_support,min_confidence,frequent_itemset_count,max_itemset_length,rule_count,max_lift,avg_lift,max_confidence
0.01,0.2,348,3,256,3.134564851797351,1.7287282826649153,0.5862068965517242
0.01,0.3,348,3,139,3.134564851797351,1.8158188942308038,0.5862068965517242
0.01,0.4,348,3,67,2.8820555565622343,1.9044570554900009,0.5862068965517242
0.01,0.5,348,3,18,2.8820555565622343,2.1637184882904874,0.5862068965517242
0.015,0.2,185,3,128,2.892290003471017,1.626893099261618,0.562992125984252
0.015,0.3,185,3,63,2.892290003471017,1.706933809843237,0.562992125984252
0.015,0.4,185,3,29,2.3304575443303768,1.7818917204435472,0.562992125984252
0.015,0.5,185,3,4,2.0960423122597143,1.9548530390817318,0.562992125984252
0.02,0.2,129,3,80,2.703662394548994,1.5626453509159473,0.5128805620608899
0.02,0.3,129,3,41,2.703662394548994,1.6461298792286145,0.5128805620608899
0.02,0.4,129,3,15,2.3304575443303768,1.7723659438499058,0.5128805620608899
0.02,0.5,129,3,1,1.9094749457388327,1.9094749457388327,0.5128805620608899
0.025,0.2,96,2,48,2.1371871593163974,1.4584445977887075,0.4972477064220183
0.025,0.3,96,2,25,2.1371871593163974,1.560490494408845,0.4972477064220183
0.025,0.4,96,2,10,2.1371871593163974,1.7433912470945103,0.4972477064220183
0.025,0.5,96,2,0,0.0,0.0,0.0
0.03,0.2,68,2,32,2.1371871593163974,1.4896692134590461,0.47275641025641035
0.03,0.3,68,2,18,2.1371871593163974,1.5557472070156042,0.47275641025641035
0.03,0.4,68,2,7,2.1371871593163974,1.745472121263073,0.47275641025641035
0.03,0.5,68,2,0,0.0,0.0,0.0
0.05,0.2,32,2,7,1.6705059065991175,1.4047702747631123,0.44869402985074625
0.05,0.3,32,2,4,1.6705059065991175,1.437987228742613,0.44869402985074625
0.05,0.4,32,2,2,1.6705059065991175,1.5828459362604654,0.44869402985074625
0.05,0.5,32,2,0,0.0,0.0,0.0
