Goods,Types,count,transaction_count,support
全脂牛奶,饮料,2513,2513,0.26859769132107736
其他蔬菜,果蔬,1903,1903,0.20339888841385206
面包卷,西点,1809,1809,0.1933518597691321
苏打,饮料,1715,1715,0.18330483112441215
酸奶,食品类,1372,1372,0.1466438648995297
瓶装水,饮料,1087,1087,0.11618212911500642
根茎类蔬菜,果蔬,1072,1072,0.1145788798631894
热带水果,果蔬,1032,1032,0.11030354852501069
购物袋,百货,969,969,0.10356990166737923
香肠,肉类,924,924,0.09876015391192818
糕点,西点,875,875,0.09352287302265926
柑橘类水果,果蔬,814,814,0.08700299273193672
报纸,百货,785,785,0.08390337751175717
仁果类水果,果蔬,744,744,0.07952116289012398
水果/蔬菜汁,饮料,711,711,0.07599401453612654
酸奶油,米粮调料,705,705,0.07535271483539974
黑面包,西点,638,638,0.06819153484395041
本地蛋类,肉类,624,624,0.06669516887558785
冷冻热狗肠,肉类,580,580,0.061992304403591277
人造黄油,米粮调料,576,576,0.06156477126977341
咖啡,饮料,571,571,0.06103035485250107
猪肉,肉类,567,567,0.0606028217186832
黄油,米粮调料,545,545,0.05825138948268491
凝乳,米粮调料,524,524,0.056006840530141086
牛肉,肉类,516,516,0.055151774262505344
餐巾,百货,515,515,0.055044890979050874
巧克力,零食,488,488,0.052159042325780246
冷冻蔬菜,果蔬,473,473,0.05055579307396323
鸡,肉类,422,422,0.04510474561778538
白面包,西点,414,414,0.04424967935014964
奶油乳酪,西点,390,390,0.041684480547242414
威化饼,西点,378,378,0.0404018811457888
咸点心,西点,372,372,0.03976058144506199
长面包,西点,368,368,0.03933304831124412
甜点,西点,365,365,0.03901239846088072
糖,米粮调料,333,333,0.03559213339033775
超高温杀菌的牛奶,饮料,329,329,0.03516460025651988
汉堡肉,肉类,327,327,0.034950833689610945
莓果,果蔬,327,327,0.034950833689610945
卫生用品,百货,324,324,0.03463018383924754
洋葱,果蔬,305,305,0.032599401453612654
特色巧克力,食品类,299,299,0.03195810175288585
糖果,零食,294,294,0.03142368533561351
其他饮料,饮料,279,279,0.029820436083796493
冷冻餐饭,米粮调料,279,279,0.029820436083796493
油,米粮调料,276,276,0.029499786233433092
酪,西点,275,275,0.029392902949978622
