antecedents,consequents,support,confidence,lift,leverage,conviction,zhangs_metric
其他蔬菜、柑橘类水果,根茎类蔬菜,0.010902094912355708,0.35915492957746475,3.134564851797351,0.007424069914370907,1.3816461435101879,0.702294498046132
其他蔬菜、热带水果,根茎类蔬菜,0.012932877297990595,0.3427762039660057,2.991617690583908,0.00860983918429822,1.3472140319323025,0.6918355038678567
牛肉,根茎类蔬菜,0.01827704147071398,0.3313953488372093,2.892290003471017,0.011957812953248638,1.3242820231611427,0.692442645074224
柑橘类水果、根茎类蔬菜,其他蔬菜,0.010902094912355708,0.5862068965517242,2.8820555565622343,0.007119345170584624,1.925119352999858,0.6654003356951581
根茎类蔬菜、热带水果,其他蔬菜,0.012932877297990595,0.5845410628019324,2.8738655720309407,0.008432709501745683,1.9174003499806123,0.6667892169039835
全脂牛奶、其他蔬菜,根茎类蔬菜,0.02436938862761864,0.30978260869565216,2.703662394548994,0.01535591539340451,1.2828148512218358,0.683933732242439
全脂牛奶、凝乳,酸奶,0.010581445061992304,0.38521400778210113,2.6268675341175936,0.006553284172811122,1.3880539665874736,0.6368110159735613
根茎类蔬菜、面包卷,其他蔬菜,0.012825994014536126,0.502092050209205,2.4685093125366904,0.007630148104862051,1.5998963501604149,0.6104923037548902
根茎类蔬菜、酸奶,其他蔬菜,0.0135741769987174,0.5,2.4582238570677877,0.008052231973373406,1.593202223172296,0.6097560975609757
全脂牛奶、热带水果,酸奶,0.01592560923471569,0.3581730769230769,2.442468883157659,0.00940531767868701,1.3295736037520434,0.6180592465804845
酸奶、酸奶油,其他蔬菜,0.010688328345446772,0.49019607843137253,2.410023389282145,0.006253380372335846,1.5625637188805213,0.5981075174825174
其他蔬菜、酸奶油,酸奶,0.010688328345446772,0.352112676056338,2.401141543136369,0.006236975456234883,1.3171366433072476,0.6017989417989418
其他蔬菜、热带水果,酸奶,0.012932877297990595,0.3427762039660057,2.3374738806894677,0.007400033742033563,1.298425498665802,0.5946227290627643
全脂牛奶、根茎类蔬菜,其他蔬菜,0.02436938862761864,0.474012474012474,2.3304575443303768,0.013912476985136505,1.5144866983120047,0.601840869780084
全脂牛奶、冷冻蔬菜,其他蔬菜,0.010153911928174433,0.472636815920398,2.3236941932481576,0.005784183778197492,1.5105360700831674,0.5821575785449423
全脂牛奶、酸奶油,酸奶,0.011436511329628047,0.33753943217665616,2.301763066650725,0.006467923773711959,1.2881614039373765,0.5853844141637535
全脂牛奶、柑橘类水果,酸奶,0.010795211628901239,0.3366666666666666,2.2958114674441203,0.006093078295226708,1.2864665353273421,0.5831219606059546
洋葱,其他蔬菜,0.014963659683625482,0.45901639344262296,2.2567300982917398,0.008332977665003755,1.472505085053183,0.5756467320106697
全脂牛奶、猪肉,其他蔬菜,0.010688328345446772,0.4587155963302752,2.255251245016319,0.005949021197710586,1.471686799371019,0.5698686802363755
全脂牛奶、酸奶油,其他蔬菜,0.015391192817443352,0.45425867507886436,2.233339024717738,0.008499631506285688,1.459667932790803,0.5716071406620693
