Types,sku_count,line_count,transaction_count,line_share,transaction_share
饮料,11,7594,5350,0.18485881207400195,0.5718255664814023
西点,21,7192,4730,0.1750730282375852,0.5055579307396323
果蔬,14,7146,4282,0.17395326192794547,0.45767421975203076
米粮调料,32,5185,3396,0.12621713729308667,0.3629756306113724
百货,42,5141,3728,0.1251460564751704,0.39846088071825564
肉类,16,4870,3481,0.1185491723466407,0.37206070970500216
食品类,4,1870,1771,0.04552093476144109,0.18929029499786235
零食,8,1459,1304,0.03551606621226874,0.1393758016246259
熟食,9,541,502,0.013169425511197663,0.053655408294142795
未分类,1,82,82,0.0019961051606621227,0.008764429243266354
