antecedents,consequents,support,confidence,lift,leverage,conviction
e,"a, c",0.3,1.0,2.0,0.15,inf
"a, c",e,0.3,0.6,2.0,0.15,1.75
e,a,0.3,1.0,1.4286,0.09,inf
e,c,0.3,1.0,1.4286,0.09,inf
"a, e",c,0.3,1.0,1.4286,0.09,inf
"c, e",a,0.3,1.0,1.4286,0.09,inf
d,b,0.2,1.0,1.25,0.04,inf
a,c,0.5,0.7143,1.0204,0.01,1.05
c,a,0.5,0.7143,1.0204,0.01,1.05
b,a,0.5,0.625,0.8929,-0.06,0.8
b,c,0.5,0.625,0.8929,-0.06,0.8
a,b,0.5,0.7143,0.8929,-0.06,0.7
c,b,0.5,0.7143,0.8929,-0.06,0.7
"a, b",c,0.3,0.6,0.8571,-0.05,0.75
"b, c",a,0.3,0.6,0.8571,-0.05,0.75
"a, c",b,0.3,0.6,0.75,-0.1,0.5
