ID,R,F,M,cluster,tsne_1,tsne_2
1,27,6,232.61,2,-18.855595,-17.51296
2,3,5,1507.11,2,-6.0140424,27.315002
3,4,16,817.62,1,17.318834,-26.433964
4,3,11,232.81,2,9.751812,-27.663904
5,14,7,1913.05,2,3.0862148,19.180225
6,19,6,220.07,2,-19.798412,-12.585347
7,5,2,615.83,2,-28.520397,13.131463
8,26,2,1059.66,2,-6.9388895,4.153527
9,21,9,304.82,2,-16.210297,-14.289139
10,2,21,1227.96,1,22.48478,-24.66034
11,15,2,521.02,2,-21.473164,4.7204146
12,26,3,438.22,2,-27.659197,-13.322102
13,17,11,1744.55,1,19.714512,8.3729105
14,30,16,1957.44,1,15.670625,2.8957193
15,5,7,1713.79,2,-1.0944155,26.884287
16,4,21,1768.11,1,33.27917,-0.5052359
17,93,2,1016.34,0,-4.9227486,-12.45857
18,16,3,950.36,2,-15.122961,7.9752827
19,4,1,754.93,2,-29.00134,14.964967
20,27,1,294.23,2,-30.013208,-13.543634
21,5,1,195.3,2,-38.725643,2.8489883
22,17,3,1845.34,2,-0.62851053,16.26705
23,12,13,1434.29,1,23.264921,10.36216
24,21,3,275.85,2,-28.862955,-8.953763
25,18,5,449.76,2,-19.028643,-6.7845645
26,30,21,1628.68,1,20.84302,-5.754438
27,4,2,1795.41,2,-5.579237,31.563145
28,7,12,1786.24,1,28.869823,10.271756
29,18,1,679.44,2,-18.243557,3.938423
30,60,7,5318.81,0,11.743644,14.068917
31,4,22,873.68,1,24.605877,-23.363708
32,16,1,654.69,2,-19.209244,4.69618
33,3,2,230.37,2,-38.53482,4.7100677
34,14,11,1165.68,2,21.440544,12.698825
35,13,21,1276.31,1,28.705605,-5.983302
36,10,16,334.21,1,15.327829,-21.348501
37,5,5,759.19,2,-24.254086,15.025453
38,1,1,1383.39,2,-9.369861,29.100826
39,24,8,3280.77,1,8.976039,11.436081
40,19,4,154.65,2,-28.190079,-7.6479855
41,9,1,501.38,2,-26.307276,8.150549
42,1,24,1721.93,1,34.415695,-2.7805994
43,14,1,107.18,2,-34.164074,-4.0833125
44,10,1,973.36,2,-15.36617,21.453962
45,10,17,764.55,1,18.45234,-22.655954
46,7,6,1251.4,2,-7.789687,24.73254
47,23,11,923.28,2,8.236124,-6.7070584
48,15,1,1011.18,2,-15.283329,6.6230035
49,1,15,1847.61,1,30.57437,6.4360867
50,3,21,1669.46,1,33.95879,-0.6366092
51,10,3,1758.05,2,-2.7699404,19.902433
52,30,8,1865.99,2,5.4234943,8.17373
53,28,8,1791.44,2,5.726919,7.9223127
54,4,15,874.6,1,16.548437,-26.630083
55,24,5,557.17,2,-17.62693,-4.091136
56,16,2,1025.35,2,-14.617019,7.1029367
57,7,2,1261.47,2,-11.720757,24.790499
58,66,4,2920.81,0,-2.0505083,-7.854846
59,4,2,1266.02,2,-11.109878,26.388762
60,21,11,626.37,2,5.8737926,-9.97871
61,6,4,1105.63,2,-13.461999,24.882523
62,26,21,1465.58,1,21.479105,-6.797474
63,8,21,630.74,1,24.334406,-21.124023
64,26,2,1546.45,2,-2.115349,7.5807095
65,14,11,1577.91,1,20.892534,10.253899
66,17,6,170.16,2,-20.298174,-11.699669
67,20,5,1558.75,2,1.7488828,12.710387
68,5,5,1272.06,2,-8.384841,25.601372
69,26,3,111.02,2,-32.268227,-12.629046
70,15,7,1578.37,2,3.2964149,15.538622
71,26,24,720.26,1,21.438812,-12.679644
72,25,16,873.22,1,13.345766,-9.738365
73,4,7,935.19,2,-21.703995,16.496992
74,23,11,723.67,2,6.643445,-8.977463
75,15,9,1833.01,1,4.6627674,18.571712
76,6,3,681.26,2,-26.82312,13.257968
77,78,11,1461.63,0,-3.4105906,-11.603955
78,15,17,560.57,1,15.055153,-19.354443
79,9,18,1761.19,1,29.57518,1.9056813
80,8,7,1707.25,2,-0.14417768,25.716137
81,28,2,227.14,2,-30.501509,-13.9864435
82,22,3,223.57,2,-29.265903,-9.407123
83,8,6,940.46,2,-20.343824,14.250976
84,23,6,256.3,2,-19.302849,-15.681486
85,5,1,312.44,2,-37.788956,3.421367
86,15,14,929.52,1,11.460704,-19.075409
87,27,15,1296.66,1,14.276054,-2.9320173
88,22,11,591.62,2,5.967112,-10.244633
89,2,2,755.72,2,-27.61455,15.462924
90,18,17,1424.07,1,20.27783,-1.7088286
91,61,8,940.93,0,-4.2947345,-9.771784
92,3,7,414.24,2,-32.01367,7.5595393
93,1,14,576.56,1,14.263244,-28.006523
94,12,22,1037.14,1,26.013678,-16.606895
95,26,5,1200.17,2,-2.0210805,2.8930488
96,1,3,1727.36,2,-5.0934396,29.963026
97,13,16,503.71,1,14.556653,-20.628075
98,19,7,703.36,2,-15.610999,-5.6946044
99,12,17,1583.05,1,27.390064,1.7381245
100,3,18,602.9,1,25.493362,-26.19921
101,5,1,798.41,2,-29.27257,15.514622
102,25,7,1202.09,2,0.97113514,1.2683241
103,85,4,1605.36,0,-4.2965794,-12.019266
104,28,21,1222.34,1,20.311886,-8.136259
105,25,19,593.17,1,15.669999,-12.868747
106,8,6,94.75,2,-32.113903,3.341495
107,14,1,89.7,2,-34.42961,-4.3336473
108,21,15,1061.56,1,13.287733,-6.0706525
109,29,15,978.85,1,12.246974,-9.083788
110,14,3,155.9,2,-33.35562,-2.5114462
111,20,5,938.15,2,-12.803819,9.229617
112,3,24,1477.97,1,33.813015,-4.446869
113,10,6,1976.23,2,1.5322044,21.460592
114,8,5,181.17,2,-32.91497,3.057203
115,17,4,499.65,2,-19.649916,-6.1412654
116,49,1,76.22,0,-7.4990306,-8.174917
117,13,11,267.1,2,7.577074,-24.340206
118,23,1,137.62,2,-31.71754,-10.838044
119,65,5,1383.47,0,-3.8956013,-10.062892
120,20,22,1311.2,1,24.65795,-8.147021
121,22,13,496.61,2,6.4506764,-11.399914
122,21,6,1921.8,2,5.2581277,10.974048
123,14,11,304.1,2,7.480402,-23.862642
124,26,1,468.09,2,-28.520477,-12.686714
125,27,9,432.67,2,-15.640396,-17.371885
126,30,1,368.35,2,-29.523933,-15.136271
127,11,4,759.69,2,-21.77861,10.739969
128,26,3,1110.81,2,-6.121665,3.4294286
129,28,1,53.0,2,-32.42164,-14.420641
130,39,11,1314.21,0,8.376703,-0.86466473
131,11,6,1895.95,2,1.8741754,20.723831
132,23,1,417.23,2,-29.14383,-11.178208
133,3,2,679.58,2,-28.123718,14.283087
134,5,1,533.97,2,-29.519278,12.63732
135,24,8,1134.64,2,1.897748,0.58904696
136,25,6,825.39,2,-10.942716,0.6343655
137,10,6,165.39,2,-31.357584,2.4075
138,29,9,1234.64,2,3.9188578,-0.29950604
139,80,11,1829.32,0,-3.3232121,-12.041859
140,23,1,89.0,2,-32.231365,-10.849602
141,4,2,1557.88,2,-7.494709,30.078289
142,3,8,1328.01,2,-5.745948,24.665668
143,15,7,304.65,2,-18.809593,-10.151564
144,17,23,1505.55,1,26.53516,-6.6462536
145,16,7,711.1,2,-15.613069,-6.820997
146,16,1,539.76,2,-20.393679,4.179568
147,5,1,65.83,2,-39.91134,2.0669234
148,16,3,776.21,2,-16.775412,7.5968146
149,22,18,1820.61,1,18.132793,2.4551136
150,19,4,1997.0,2,0.67597693,16.006315
151,4,22,1846.69,1,33.39656,-1.2300917
152,23,7,1252.41,2,1.4918143,1.5257868
153,7,13,987.17,1,15.157179,-25.455969
154,3,6,1130.03,2,-8.839363,24.431444
155,18,1,148.32,2,-32.510315,-6.530128
156,28,1,135.57,2,-31.552687,-14.390363
157,6,2,1641.79,2,-7.1722355,31.277771
158,7,2,242.83,2,-37.106094,2.3331957
159,21,8,1803.02,2,6.243299,10.919831
160,12,12,1557.95,1,23.871178,10.018991
161,25,4,1494.81,2,-1.1935219,6.5005927
162,26,13,1280.06,1,12.54812,-2.8479097
163,28,1,160.0,2,-31.18996,-14.249375
164,22,9,440.12,2,-15.615812,-14.964255
165,14,1,746.95,2,-18.42812,6.141795
166,12,2,351.09,2,-25.753593,5.9654994
167,6,2,556.91,2,-28.551895,12.186625
168,7,3,957.83,2,-14.887586,23.826597
169,16,16,1212.37,1,21.14824,-0.77249944
170,11,2,946.65,2,-15.809483,20.818357
171,16,13,1442.68,1,21.83263,9.572572
172,5,12,1612.7,1,27.578718,11.069554
173,0,21,1281.68,1,22.373556,-24.28843
174,9,13,1928.8,1,29.330713,8.779123
175,24,7,335.35,2,-18.090744,-16.177357
176,3,8,1589.35,2,-0.7040106,28.390572
177,20,11,797.72,2,5.8979487,-9.064764
178,17,1,793.47,2,-17.157707,5.279008
179,13,16,569.47,1,14.213112,-20.33461
180,10,3,149.5,2,-34.2296,0.37758538
181,17,21,515.38,1,21.461319,-16.94348
182,8,4,187.76,2,-33.57237,2.2274778
183,20,7,1441.83,2,3.1808238,12.427152
